geneID,gene_symbol,GSM6290462,GSM6290463,GSM6290464,GSM6290466,GSM6290467,GSM6290468
ENSG00000066032,CTNNA2,57,98,104,16,19,16
ENSG00000066044,ELAVL1,4086,5163,4840,2723,3483,3484
ENSG00000066056,TIE1,28,23,23,28,23,35
ENSG00000066084,DIP2B,752,804,812,1419,1637,1806
ENSG00000066117,SMARCD1,1699,1514,1298,1330,1532,1416
ENSG00000066135,KDM4A,18259,17505,18660,7314,9341,10234
ENSG00000066136,NFYC,36428,28335,33560,39805,47189,44938
ENSG00000066185,ZMYND12,158,121,167,52,40,52
ENSG00000066230,SLC9A3,3,0,0,8,2,5
ENSG00000066248,NGEF,239,86,107,105,153,202
ENSG00000066279,ASPM,5208,3766,4661,868,957,1070
ENSG00000066294,CD84,2399,2306,2267,485,394,547
ENSG00000066322,ELOVL1,5775,5838,5351,3565,3951,3626
ENSG00000066336,SPI1,8737,8211,6898,14789,13636,15580
